[2025-07-28T21:03:34.079+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-28T21:03:34.759+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: parallel_scraping_pipeline.scrape_task manual__2025-07-28T21:03:09.717459+00:00 map_index=0 [queued]>
[2025-07-28T21:03:35.060+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: parallel_scraping_pipeline.scrape_task manual__2025-07-28T21:03:09.717459+00:00 map_index=0 [queued]>
[2025-07-28T21:03:35.061+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-07-28T21:03:35.581+0000] {taskinstance.py:2330} INFO - Executing <Mapped(_PythonDecoratedOperator): scrape_task> on 2025-07-28 21:03:09.717459+00:00
[2025-07-28T21:03:35.603+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=969) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-28T21:03:35.603+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'parallel_scraping_pipeline', 'scrape_task', 'manual__2025-07-28T21:03:09.717459+00:00', '--job-id', '30', '--raw', '--subdir', 'DAGS_FOLDER/parallel_pipeline_dag.py', '--cfg-path', '/tmp/tmpiimew2c7', '--map-index', '0']
[2025-07-28T21:03:35.606+0000] {standard_task_runner.py:91} INFO - Job 30: Subtask scrape_task
[2025-07-28T21:03:35.606+0000] {standard_task_runner.py:64} INFO - Started process 983 to run task
[2025-07-28T21:03:36.167+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-28T21:03:37.501+0000] {task_command.py:426} INFO - Running <TaskInstance: parallel_scraping_pipeline.scrape_task manual__2025-07-28T21:03:09.717459+00:00 map_index=0 [running]> on host 8cf7cfd9e861
[2025-07-28T21:03:40.677+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='parallel_scraping_pipeline' AIRFLOW_CTX_TASK_ID='scrape_task' AIRFLOW_CTX_EXECUTION_DATE='2025-07-28T21:03:09.717459+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-28T21:03:09.717459+00:00'
[2025-07-28T21:03:40.682+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-28T21:03:40.685+0000] {logging_mixin.py:188} INFO - Initializing WebDriver...
[2025-07-28T21:03:54.070+0000] {logging_mixin.py:188} INFO - Extracted - Phone: Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM), Price: ₹21,999
[2025-07-28T21:03:57.551+0000] {logging_mixin.py:188} INFO - Scraping Page 1 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:00.193+0000] {logging_mixin.py:188} INFO - Scraping Page 2 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:02.907+0000] {logging_mixin.py:188} INFO - Scraping Page 3 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:05.654+0000] {logging_mixin.py:188} INFO - Scraping Page 4 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:08.407+0000] {logging_mixin.py:188} INFO - Scraping Page 5 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:11.090+0000] {logging_mixin.py:188} INFO - Scraping Page 6 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:13.694+0000] {logging_mixin.py:188} INFO - Scraping Page 7 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:16.280+0000] {logging_mixin.py:188} INFO - Scraping Page 8 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:18.971+0000] {logging_mixin.py:188} INFO - Scraping Page 9 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:21.871+0000] {logging_mixin.py:188} INFO - Scraping Page 10 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:24.812+0000] {logging_mixin.py:188} INFO - Scraping Page 11 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:27.374+0000] {logging_mixin.py:188} INFO - Scraping Page 12 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:29.941+0000] {logging_mixin.py:188} INFO - Scraping Page 13 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:32.525+0000] {logging_mixin.py:188} INFO - Scraping Page 14 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:35.104+0000] {logging_mixin.py:188} INFO - Scraping Page 15 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:38.313+0000] {logging_mixin.py:188} INFO - Scraping Page 16 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-28T21:04:40.997+0000] {logging_mixin.py:188} INFO - Scraping Page 17 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
