[2025-07-29T10:22:21.118+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-29T10:22:22.044+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: parallel_scraping_pipeline.scrape_task manual__2025-07-29T10:21:21.870236+00:00 map_index=1 [queued]>
[2025-07-29T10:22:22.521+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: parallel_scraping_pipeline.scrape_task manual__2025-07-29T10:21:21.870236+00:00 map_index=1 [queued]>
[2025-07-29T10:22:22.523+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-07-29T10:22:22.968+0000] {taskinstance.py:2330} INFO - Executing <Mapped(_PythonDecoratedOperator): scrape_task> on 2025-07-29 10:21:21.870236+00:00
[2025-07-29T10:22:22.983+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=354) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-29T10:22:22.983+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'parallel_scraping_pipeline', 'scrape_task', 'manual__2025-07-29T10:21:21.870236+00:00', '--job-id', '95', '--raw', '--subdir', 'DAGS_FOLDER/parallel_pipeline_dag.py', '--cfg-path', '/tmp/tmpjkl_m4db', '--map-index', '1']
[2025-07-29T10:22:22.985+0000] {standard_task_runner.py:64} INFO - Started process 366 to run task
[2025-07-29T10:22:22.985+0000] {standard_task_runner.py:91} INFO - Job 95: Subtask scrape_task
[2025-07-29T10:22:23.740+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-29T10:22:25.569+0000] {task_command.py:426} INFO - Running <TaskInstance: parallel_scraping_pipeline.scrape_task manual__2025-07-29T10:21:21.870236+00:00 map_index=1 [running]> on host f328c07fe88e
[2025-07-29T10:22:29.911+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='parallel_scraping_pipeline' AIRFLOW_CTX_TASK_ID='scrape_task' AIRFLOW_CTX_EXECUTION_DATE='2025-07-29T10:21:21.870236+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-29T10:21:21.870236+00:00'
[2025-07-29T10:22:29.916+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-29T10:22:29.917+0000] {logging_mixin.py:188} INFO - Initializing Stealth WebDriver...
[2025-07-29T10:22:46.791+0000] {logging_mixin.py:188} INFO - Extracted - Phone: Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM), Price: ₹21,999
[2025-07-29T10:22:52.252+0000] {logging_mixin.py:188} INFO - Scraping Page 1 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:23:01.680+0000] {logging_mixin.py:188} INFO - Scraping Page 2 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:23:10.565+0000] {logging_mixin.py:188} INFO - Scraping Page 3 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:23:19.431+0000] {logging_mixin.py:188} INFO - Scraping Page 4 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:23:28.273+0000] {logging_mixin.py:188} INFO - Scraping Page 5 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:23:37.412+0000] {logging_mixin.py:188} INFO - Scraping Page 6 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:23:46.380+0000] {logging_mixin.py:188} INFO - Scraping Page 7 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:23:55.210+0000] {logging_mixin.py:188} INFO - Scraping Page 8 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:24:04.088+0000] {logging_mixin.py:188} INFO - Scraping Page 9 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:24:12.969+0000] {logging_mixin.py:188} INFO - Scraping Page 10 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:24:21.927+0000] {logging_mixin.py:188} INFO - Scraping Page 11 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:24:30.767+0000] {logging_mixin.py:188} INFO - Scraping Page 12 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:24:39.719+0000] {logging_mixin.py:188} INFO - Scraping Page 13 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:24:48.522+0000] {logging_mixin.py:188} INFO - Scraping Page 14 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:24:57.927+0000] {logging_mixin.py:188} INFO - Scraping Page 15 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:25:06.722+0000] {logging_mixin.py:188} INFO - Scraping Page 16 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
[2025-07-29T10:25:15.564+0000] {logging_mixin.py:188} INFO - Scraping Page 17 for Samsung Galaxy A35 5G (Awesome Navy, 256 GB)  (8 GB RAM)...
