[2025-07-29T20:39:06.785+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-29T20:39:07.577+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.887+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [queued]>
[2025-07-29T20:39:07.888+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-07-29T20:39:08.248+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonDecoratedOperator): process_urls_sequentially> on 2025-07-29 20:38:00.592017+00:00
[2025-07-29T20:39:08.265+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=376) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-29T20:39:08.265+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'sequential_scraping_pipeline', 'process_urls_sequentially', 'manual__2025-07-29T20:38:00.592017+00:00', '--job-id', '173', '--raw', '--subdir', 'DAGS_FOLDER/sequential_pipeline_dag.py', '--cfg-path', '/tmp/tmp6pubra60']
[2025-07-29T20:39:08.267+0000] {standard_task_runner.py:64} INFO - Started process 386 to run task
[2025-07-29T20:39:08.267+0000] {standard_task_runner.py:91} INFO - Job 173: Subtask process_urls_sequentially
[2025-07-29T20:39:09.009+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-29T20:39:10.997+0000] {task_command.py:426} INFO - Running <TaskInstance: sequential_scraping_pipeline.process_urls_sequentially manual__2025-07-29T20:38:00.592017+00:00 [running]> on host fea732f57866
[2025-07-29T20:39:16.260+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='sequential_scraping_pipeline' AIRFLOW_CTX_TASK_ID='process_urls_sequentially' AIRFLOW_CTX_EXECUTION_DATE='2025-07-29T20:38:00.592017+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-29T20:38:00.592017+00:00'
[2025-07-29T20:39:16.264+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-29T20:39:16.266+0000] {logging_mixin.py:188} INFO - --- Starting sequential processing for: https://www.flipkart.com/apple-iphone-12-blue-128-gb/p/itm02853ae92e90a?pid=MOBFWBYZKPTZF9VG&lid=LSTMOBFWBYZKPTZF9VGE9ZTO4&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=063b199f-2eb4-4be2-8427-c82b16c6c7da.MOBFWBYZKPTZF9VG.SEARCH&ppt=sp&ppn=sp&ssid=5tjx8gpbv40000001753821413266&qH=7b7504afcaf2e1ea ---
[2025-07-29T20:39:16.267+0000] {logging_mixin.py:188} INFO - Initializing Stealth WebDriver...
[2025-07-29T20:39:28.247+0000] {logging_mixin.py:188} INFO - Extracted - Phone: Apple iPhone 12 (Blue, 128 GB), Price: ₹49,900
[2025-07-29T20:39:33.645+0000] {logging_mixin.py:188} INFO - Scraping Page 1 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:36.479+0000] {logging_mixin.py:188} INFO - Scraping Page 2 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:39.256+0000] {logging_mixin.py:188} INFO - Scraping Page 3 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:42.098+0000] {logging_mixin.py:188} INFO - Scraping Page 4 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:45.105+0000] {logging_mixin.py:188} INFO - Scraping Page 5 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:48.064+0000] {logging_mixin.py:188} INFO - Scraping Page 6 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:50.861+0000] {logging_mixin.py:188} INFO - Scraping Page 7 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:53.608+0000] {logging_mixin.py:188} INFO - Scraping Page 8 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:56.396+0000] {logging_mixin.py:188} INFO - Scraping Page 9 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:39:59.148+0000] {logging_mixin.py:188} INFO - Scraping Page 10 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:02.030+0000] {logging_mixin.py:188} INFO - Scraping Page 11 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:04.829+0000] {logging_mixin.py:188} INFO - Scraping Page 12 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:07.603+0000] {logging_mixin.py:188} INFO - Scraping Page 13 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:10.339+0000] {logging_mixin.py:188} INFO - Scraping Page 14 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:13.095+0000] {logging_mixin.py:188} INFO - Scraping Page 15 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:15.887+0000] {logging_mixin.py:188} INFO - Scraping Page 16 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:19.022+0000] {logging_mixin.py:188} INFO - Scraping Page 17 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:21.789+0000] {logging_mixin.py:188} INFO - Scraping Page 18 for Apple iPhone 12 (Blue, 128 GB)...
[2025-07-29T20:40:24.613+0000] {logging_mixin.py:188} INFO - Scraping Page 19 for Apple iPhone 12 (Blue, 128 GB)...
